======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      199       199    31.2    86.8     54+0      [375] isEnabled ()Z
       61       647     9.6    96.4      1+0      [204] <init> (Landroid/content/Context;Landroid/view/accessibility/IAccessibilityManager;)V
       18        23     2.8    99.2      1+0      [693] setState (I)V
        5         5     0.8   100.0      1+0      [883] setAccessibilityState (Z)V
---------------------------------------------
      603     0.6    80.8     33+0      android/widget/LinearLayout
      305      5171    50.6    50.6      3+0      [47] <init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
      114      2139    18.9    69.5      7+0      [80] generateLayoutParams (Landroid/util/AttributeSet;)Landroid/widget/LinearLayout$LayoutParams;
       65      2204    10.8    80.3      7+0      [79] generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
       61      5232    10.1    90.4      3+0      [46] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       25        25     4.1    94.5      7+0      [675] checkLayoutParams (Landroid/view/ViewGroup$LayoutParams;)Z
       20        29     3.3    97.8      3+0      [657] setOrientation (I)V
       13        13     2.2   100.0      3+0      [775] setDividerDrawable (Landroid/graphics/drawable/Drawable;)V
---------------------------------------------
      560     0.5    81.3    124+0      android/app/ContextImpl
      257       370    45.9    45.9     37+0      [278] getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
      157       157    28.0    73.9     54+0      [412] getResources ()Landroid/content/res/Resources;
       65        65    11.6    85.5     20+0      [536] getContentResolver ()Landroid/content/ContentResolver;
       56        87    10.0    95.5      9+0      [502] getClassLoader ()Ljava/lang/ClassLoader;
       10        13     1.8    97.3      1+0      [768] getApplicationContext ()Landroid/content/Context;
        7        10     1.2    98.6      1+0      [804] getMainLooper ()Landroid/os/Looper;
        5         8     0.9    99.5      1+0      [823] getPackageName ()Ljava/lang/String;
        3         3     0.5   100.0      1+0      [918] getPackageManager ()Landroid/content/pm/PackageManager;
---------------------------------------------
      519     0.5    81.8    155+0      java/lang/ref/Reference
      397       397    76.5    76.5    120+0      [268] <init> (Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;)V
      122       122    23.5   100.0     35+0      [456] get ()Ljava/lang/Object;
---------------------------------------------
      497     0.5    82.3     33+0      android/graphics/drawable/DrawableContainer$DrawableContainerState
      294      4412    59.2    59.2      4+0      [55] <init> (Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;Landroid/graphics/drawable/DrawableContainer;Landroid/content/res/Resources;)V
       93       402    18.7    77.9      8+0      [266] getOpacity ()I
       64       213    12.9    90.7      5+0      [361] getConstantPadding ()Landroid/graphics/Rect;
       40        40     8.0    98.8     14+0      [607] getChildCount ()I
        6         6     1.2   100.0      2+0      [854] canConstantState ()Z
---------------------------------------------
      482     0.5    82.8     57+0      android/app/Activity
      227       344    47.1    47.1     19+0      [291] onCreateView (Landroid/view/View;Ljava/lang/String;Landroid/content/Context;Landroid/util/AttributeSet;)Landroid/view/View;
       63        63    13.1    60.2     19+0      [542] onCreateView (Ljava/lang/String;Landroid/content/Context;Landroid/util/AttributeSet;)Landroid/view/View;
       44       849     9.1    69.3      1+0      [171] onCreate (Landroid/os/Bundle;)V
       34        76     7.1    76.3      2+0      [519] getSystemService (Ljava/lang/String;)Ljava/lang/Object;
       31      2079     6.4    82.8      1+0      [86] initActionBar ()V
       19       288     3.9    86.7      1+0      [320] getWindowMode ()I
       17        17     3.5    90.2      4+0      [727] onWindowAttributesChanged (Landroid/view/WindowManager$LayoutParams;)V
       15    104136     3.1    93.4      1+0      [1] setContentView (I)V
       14        14     2.9    96.3      4+0      [752] getWindow ()Landroid/view/Window;
        8         8     1.7    97.9      2+0      [822] getComponentName ()Landroid/content/ComponentName;
        4         4     0.8    98.8      1+0      [887] getApplication ()Landroid/app/Application;
        3         3     0.6    99.4      1+0      [912] isChild ()Z
        3         3     0.6   100.0      1+0      [913] onContentChanged ()V
---------------------------------------------
      467     0.4    83.2     49+0      android/graphics/drawable/DrawableContainer
      187       500    40.0    40.0     10+0      [236] selectDrawable (I)Z
       65       488    13.9    54.0      8+0      [242] getOpacity ()I
       62       227    13.3    67.2      7+0      [351] setVisible (ZZ)Z
       42       280     9.0    76.2      5+0      [323] getPadding (Landroid/graphics/Rect;)Z
       31       110     6.6    82.9      6+0      [471] onStateChange ([I)Z
       27        42     5.8    88.7      4+0      [597] <init> ()V
       16        39     3.4    92.1      2+0      [609] getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
       14        14     3.0    95.1      4+0      [755] setConstantState (Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;)V
       12        17     2.6    97.6      2+0      [729] getChangingConfigurations ()I
       11        53     2.4   100.0      1+0      [565] invalidateDrawable (Landroid/graphics/drawable/Drawable;)V
---------------------------------------------
      463     0.4    83.7     41+0      android/view/ViewConfiguration
      321      1731    69.3    69.3     20+0      [105] get (Landroid/content/Context;)Landroid/view/ViewConfiguration;
       82       787    17.7    87.0      1+0      [182] <init> (Landroid/content/Context;)V
       60        60    13.0   100.0     20+0      [549] getScaledTouchSlop ()I
---------------------------------------------
      463     0.4    84.1      8+0      com/android/internal/policy/impl/PhoneWindow$DecorView
      343      7924    74.1    74.1      1+0      [32] <init> (Lcom/android/internal/policy/impl/PhoneWindow;Landroid/content/Context;I)V
       49       554    10.6    84.7      1+0      [228] setWindowBackground (Landroid/graphics/drawable/Drawable;)V
       43       138     9.3    94.0      2+0      [433] drawableChanged ()V
       12       475     2.6    96.5      1+0      [248] setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
        7        11     1.5    98.1      1+0      [800] setWindowFrame (Landroid/graphics/drawable/Drawable;)V
        6       141     1.3    99.4      1+0      [432] finishChanging ()V
        3         3     0.6   100.0      1+0      [934] startChanging ()V
---------------------------------------------
      431     0.4    84.5     61+0      java/lang/System
      431       431   100.0   100.0     61+0      [259] arraycopy (Ljava/lang/Object;ILjava/lang/Object;II)V
---------------------------------------------
      430     0.4    84.9      8+0      com/android/internal/app/ActionBarImpl
      299      1607    69.5    69.5      1+0      [111] init (Landroid/view/View;)V
       57      1967    13.3    82.8      1+0      [90] <init> (Landroid/app/Activity;)V
       36       115     8.4    91.2      1+0      [465] setHasEmbeddedTabs (Z)V
       11       275     2.6    93.7      1+0      [327] setHomeButtonEnabled (Z)V
        8        11     1.9    95.6      1+0      [799] getNavigationMode ()I
        8        53     1.9    97.4      1+0      [567] setDisplayOptions (II)V
        6        64     1.4    98.8      1+0      [540] setDefaultDisplayHomeAsUpEnabled (Z)V
        5        58     1.2   100.0      1+0      [554] setDisplayHomeAsUpEnabled (Z)V
---------------------------------------------
      414     0.4    85.3     45+0      android/content/res/ColorStateList
      272       447    65.7    65.7     36+0      [254] getColorForState ([II)I
      137       353    33.1    98.8      8+0      [285] valueOf (I)Landroid/content/res/ColorStateList;
        5         5     1.2   100.0      1+0      [873] <init> ([[I[I)V
---------------------------------------------
      406     0.4    85.7     45+0      java/lang/AbstractStringBuilder
      217       578    53.4    53.4     19+0      [224] append0 (Ljava/lang/String;)V
       74       108    18.2    71.7      9+0      [476] enlargeBuffer (I)V
       70        94    17.2    88.9      8+0      [492] toString ()Ljava/lang/String;
       36        36     8.9    97.8      7+0      [621] <init> ()V
        6         6     1.5    99.3      1+0      [866] <init> (I)V
        3         3     0.7   100.0      1+0      [947] append0 (C)V
---------------------------------------------
      401     0.4    86.1     58+0      java/lang/ThreadLocal$Values
      182       312    45.4    45.4      4+0      [309] cleanUp ()V
       83        83    20.7    66.1     24+0      [511] next (I)I
       34        34     8.5    74.6     11+0      [630] access$000 (Ljava/lang/ThreadLocal$Values;)[Ljava/lang/Object;
       34       200     8.5    83.0      2+0      [374] getAfterMiss (Ljava/lang/ThreadLocal;)Ljava/lang/Object;
       28        28     7.0    90.0     11+0      [665] access$100 (Ljava/lang/ThreadLocal$Values;)I
       28       203     7.0    97.0      2+0      [369] put (Ljava/lang/ThreadLocal;Ljava/lang/Object;)V
       12        12     3.0   100.0      4+0      [787] rehash ()Z
---------------------------------------------
      380     0.4    86.4     34+0      android/graphics/Matrix
      236       675    62.1    62.1     17+0      [200] <init> ()V
      144       144    37.9   100.0     17+0      [426] native_create (I)I
---------------------------------------------
      379     0.4    86.8     66+0      java/lang/ref/WeakReference
      379       600   100.0   100.0     66+0      [218] <init> (Ljava/lang/Object;)V
---------------------------------------------
      376     0.4    87.2     37+0      android/graphics/drawable/BitmapDrawable
      107       147    28.5    28.5      4+0      [424] getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
       81       402    21.5    50.0      5+0      [265] <init> (Landroid/graphics/drawable/BitmapDrawable$BitmapState;Landroid/content/res/Resources;)V
       44       188    11.7    61.7      5+0      [385] computeBitmapSize ()V
       42       276    11.2    72.9      5+0      [326] setBitmap (Landroid/graphics/Bitmap;)V
       28        40     7.4    80.3      4+0      [605] getChangingConfigurations ()I
       22       334     5.9    86.2      4+0      [296] <init> (Landroid/graphics/drawable/BitmapDrawable$BitmapState;Landroid/content/res/Resources;Landroid/graphics/drawable/BitmapDrawable$1;)V
       17       456     4.5    90.7      1+0      [251] <init> (Landroid/content/res/Resources;Landroid/graphics/Bitmap;)V
       13        56     3.5    94.1      1+0      [556] getOpacity ()I
       11        11     2.9    97.1      4+0      [792] getIntrinsicHeight ()I
       11        11     2.9   100.0      4+0      [793] getIntrinsicWidth ()I
---------------------------------------------
      366     0.3    87.5     41+0      java/lang/ClassLoader
      196       497    53.6    53.6     20+0      [238] findLoadedClass (Ljava/lang/String;)Ljava/lang/Class;
      103      1295    28.1    81.7     10+0      [136] loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
       64      1359    17.5    99.2     10+0      [133] loadClass (Ljava/lang/String;)Ljava/lang/Class;
        3         3     0.8   100.0      1+0      [948] getSystemClassLoader ()Ljava/lang/ClassLoader;
---------------------------------------------
      360     0.3    87.8      5+0      com/android/internal/widget/ActionBarContainer
      329      7897    91.4    91.4      2+0      [33] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       28        69     7.8    99.2      2+0      [533] onFinishInflate ()V
        3         3     0.8   100.0      1+0      [936] setTabContainer (Lcom/android/internal/widget/ScrollingTabContainerView;)V
---------------------------------------------
      357     0.3    88.2     28+0      android/graphics/drawable/StateListDrawable$StateListState
      198       390    55.5    55.5     10+0      [271] indexOfStateSet ([I)I
       82      5390    23.0    78.4      4+0      [43] newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
       53       443    14.8    93.3     10+0      [255] access$000 (Landroid/graphics/drawable/StateListDrawable$StateListState;[I)I
       24      4436     6.7   100.0      4+0      [54] <init> (Landroid/graphics/drawable/StateListDrawable$StateListState;Landroid/graphics/drawable/StateListDrawable;Landroid/content/res/Resources;)V
---------------------------------------------
      341     0.3    88.5     32+0      android/graphics/drawable/LayerDrawable
      107       172    31.4    31.4      6+0      [402] getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
       95      1699    27.9    59.2      6+0      [108] <init> (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/content/res/Resources;)V
       43        43    12.6    71.8      6+0      [595] ensurePadding ()V
       31        47     9.1    80.9      6+0      [580] getChangingConfigurations ()I
       29        88     8.5    89.4      2+0      [498] getPadding (Landroid/graphics/Rect;)Z
       23        59     6.7    96.2      4+0      [551] reapplyPadding (ILandroid/graphics/drawable/LayerDrawable$ChildDrawable;)Z
       13       141     3.8   100.0      2+0      [431] getOpacity ()I
---------------------------------------------
      339     0.3    88.8    101+0      android/util/StateSet
      339       339   100.0   100.0    101+0      [293] stateSetMatches ([I[I)Z
---------------------------------------------
      337     0.3    89.2      2+0      android/net/Uri
      333       362    98.8    98.8      1+0      [283] decode (Ljava/lang/String;)Ljava/lang/String;
        4         4     1.2   100.0      1+0      [891] access$300 ()Ljava/lang/String;
---------------------------------------------
      328     0.3    89.5     26+0      android/content/pm/ApplicationInfo
      230      1378    70.1    70.1      3+0      [130] <init> (Landroid/os/Parcel;)V
       62        62    18.9    89.0     19+0      [545] hasRtlSupport ()Z
       19      1397     5.8    94.8      3+0      [126] <init> (Landroid/os/Parcel;Landroid/content/pm/ApplicationInfo$1;)V
       17        17     5.2   100.0      1+0      [728] getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
---------------------------------------------
      302     0.3    89.8     34+0      android/graphics/drawable/NinePatchDrawable$NinePatchState
      285      2381    94.4    94.4     32+0      [75] newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
       12        18     4.0    98.3      1+0      [719] <init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;Z)V
        5        23     1.7   100.0      1+0      [691] <init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;)V
---------------------------------------------
      302     0.3    90.0    102+0      android/view/ContextThemeWrapper
      287       287    95.0    95.0    100+0      [321] getTheme ()Landroid/content/res/Resources$Theme;
       15        21     5.0   100.0      2+0      [702] getSystemService (Ljava/lang/String;)Ljava/lang/Object;
---------------------------------------------
      278     0.3    90.3      2+0      android/sec/enterprise/RestrictionPolicy
      273       273    98.2    98.2      1+0      [328] <clinit> ()V
        5         5     1.8   100.0      1+0      [878] <init> ()V
---------------------------------------------
      278     0.3    90.6     36+0      java/lang/ThreadLocal
      187       591    67.3    67.3     11+0      [221] get ()Ljava/lang/Object;
       36        36    12.9    80.2     13+0      [622] values (Ljava/lang/Thread;)Ljava/lang/ThreadLocal$Values;
       26       254     9.4    89.6      2+0      [336] set (Ljava/lang/Object;)V
       12        12     4.3    93.9      4+0      [786] access$200 (Ljava/lang/ThreadLocal;)I
       11        11     4.0    97.8      4+0      [803] access$300 (Ljava/lang/ThreadLocal;)Ljava/lang/ref/Reference;
        6         6     2.2   100.0      2+0      [867] initialValue ()Ljava/lang/Object;
---------------------------------------------
      272     0.3    90.8     26+0      android/graphics/drawable/ColorDrawable
      112       163    41.2    41.2      4+0      [408] getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
       65       633    23.9    65.1      4+0      [208] <init> (Landroid/graphics/drawable/ColorDrawable$ColorState;)V
       34        51    12.5    77.6      4+0      [572] getChangingConfigurations ()I
       26       659     9.6    87.1      4+0      [202] <init> (Landroid/graphics/drawable/ColorDrawable$ColorState;Landroid/graphics/drawable/ColorDrawable$1;)V
       15        15     5.5    92.6      4+0      [745] setAlpha (I)V
       12        12     4.4    97.1      4+0      [779] setColorFilter (Landroid/graphics/ColorFilter;)V
        8         8     2.9   100.0      2+0      [827] getOpacity ()I
---------------------------------------------
      272     0.3    91.1     40+0      java/util/HashSet
      272       694   100.0   100.0     40+0      [196] contains (Ljava/lang/Object;)Z
---------------------------------------------
      261     0.2    91.3      9+0      android/widget/RelativeLayout
      119       181    45.6    45.6      1+0      [393] initFromAttributes (Landroid/content/Context;Landroid/util/AttributeSet;)V
       78      1262    29.9    75.5      1+0      [141] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       30       132    11.5    87.0      4+0      [440] requestLayout ()V
       26       325    10.0    96.9      1+0      [303] generateLayoutParams (Landroid/util/AttributeSet;)Landroid/widget/RelativeLayout$LayoutParams;
        5       330     1.9    98.9      1+0      [300] generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
        3         3     1.1   100.0      1+0      [932] checkLayoutParams (Landroid/view/ViewGroup$LayoutParams;)Z
---------------------------------------------
      257     0.2    91.6     30+0      android/text/TextUtils
       97       226    37.7    37.7     10+0      [352] indexOf (Ljava/lang/CharSequence;CI)I
       83       309    32.3    70.0     10+0      [310] indexOf (Ljava/lang/CharSequence;C)I
       67        85    26.1    96.1      6+0      [507] stringOrSpannedString (Ljava/lang/CharSequence;)Ljava/lang/CharSequence;
       10        10     3.9   100.0      4+0      [808] isEmpty (Ljava/lang/CharSequence;)Z
---------------------------------------------
      256     0.2    91.8      7+0      android/widget/LinearLayout$LayoutParams
      256      1999   100.0   100.0      7+0      [88] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
---------------------------------------------
      255     0.2    92.1     14+0      android/graphics/drawable/LayerDrawable$LayerState
      214      1460    83.9    83.9      6+0      [120] <init> (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/graphics/drawable/LayerDrawable;Landroid/content/res/Resources;)V
       23       128     9.0    92.9      2+0      [447] getOpacity ()I
       18        18     7.1   100.0      6+0      [718] canConstantState ()Z
---------------------------------------------
      239     0.2    92.3     38+0      android/view/ViewGroup$LayoutParams
      174       303    72.8    72.8     18+0      [314] setBaseAttributes (Landroid/content/res/TypedArray;II)V
       51        51    21.3    94.1     18+0      [573] <init> ()V
       10        10     4.2    98.3      1+0      [809] <init> (II)V
        4         4     1.7   100.0      1+0      [900] <init> (Landroid/view/ViewGroup$LayoutParams;)V
---------------------------------------------
      237     0.2    92.5     13+0      com/android/internal/policy/impl/PhoneLayoutInflater
      237     29818   100.0   100.0     13+0      [15] onCreateView (Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
---------------------------------------------
      234     0.2    92.7     21+0      java/lang/VMClassLoader
      213       213    91.0    91.0     20+0      [363] findLoadedClass (Ljava/lang/ClassLoader;Ljava/lang/String;)Ljava/lang/Class;
       21       624     9.0   100.0      1+0      [211] loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
---------------------------------------------
      221     0.2    93.0     24+0      android/graphics/drawable/StateListDrawable
      106      1159    48.0    48.0     10+0      [150] onStateChange ([I)Z
       75      5284    33.9    81.9      4+0      [45] <init> (Landroid/graphics/drawable/StateListDrawable$StateListState;Landroid/content/res/Resources;)V
       24      5308    10.9    92.8      4+0      [44] <init> (Landroid/graphics/drawable/StateListDrawable$StateListState;Landroid/content/res/Resources;Landroid/graphics/drawable/StateListDrawable$1;)V
       16        16     7.2   100.0      6+0      [737] isStateful ()Z
---------------------------------------------
      219     0.2    93.2     36+0      java/lang/StringBuilder
      117       695    53.4    53.4     19+0      [194] append (Ljava/lang/String;)Ljava/lang/StringBuilder;
       49       143    22.4    75.8      8+0      [428] toString ()Ljava/lang/String;
       43        79    19.6    95.4      7+0      [517] <init> ()V
        5        11     2.3    97.7      1+0      [802] <init> (I)V
        5         8     2.3   100.0      1+0      [832] append (C)Ljava/lang/StringBuilder;
---------------------------------------------
      209     0.2    93.4      3+0      android/app/ActionBar$LayoutParams
      209       778   100.0   100.0      3+0      [184] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
---------------------------------------------
      208     0.2    93.6     11+2      android/content/pm/PackageItemInfo
      150       805    72.1    72.1      6+0      [179] <init> (Landroid/os/Parcel;)V
       32     11113    15.4    87.5      1+1      [26] loadIcon (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
       20        34     9.6    97.1      2+1      [626] loadLogo (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
        6         6     2.9   100.0      2+0      [847] loadDefaultLogo (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
---------------------------------------------
      204     0.2    93.8      9+0      android/app/ActivityThread
       84       382    41.2    41.2      1+0      [274] installProviderAuthoritiesLocked (Landroid/content/IContentProvider;Landroid/content/ContentProvider;Landroid/app/IActivityManager$ContentProviderHolder;)Landroid/app/ActivityThread$ProviderClientRecord;
       33       184    16.2    57.4      1+0      [389] getTopLevelResources (Ljava/lang/String;Landroid/content/res/CompatibilityInfo;)Landroid/content/res/Resources;
       29       481    14.2    71.6      1+0      [245] installProvider (Landroid/content/Context;Landroid/app/IActivityManager$ContentProviderHolder;Landroid/content/pm/ProviderInfo;ZZZ)Landroid/app/IActivityManager$ContentProviderHolder;
       26      2111    12.7    84.3      1+0      [84] acquireProvider (Landroid/content/Context;Ljava/lang/String;Z)Landroid/content/IContentProvider;
       12       201     5.9    90.2      1+0      [370] getTopLevelResources (Ljava/lang/String;Landroid/app/LoadedApk;)Landroid/content/res/Resources;
        8        20     3.9    94.1      1+0      [705] acquireExistingProvider (Landroid/content/Context;Ljava/lang/String;Z)Landroid/content/IContentProvider;
        5         5     2.5    96.6      1+0      [869] getApplicationThread ()Landroid/app/ActivityThread$ApplicationThread;
        4         4     2.0    98.5      1+0      [888] getCSCAppIconMap ()Ljava/util/HashMap;
        3         3     1.5   100.0      1+0      [914] getLooper ()Landroid/os/Looper;
---------------------------------------------
      203     0.2    93.9     66+0      android/graphics/Rect
      133       133    65.5    65.5     43+0      [437] <init> ()V
       48        48    23.6    89.2     15+0      [578] set (Landroid/graphics/Rect;)V
       13        13     6.4    95.6      5+0      [770] set (IIII)V
        6         6     3.0    98.5      2+0      [853] <init> (Landroid/graphics/Rect;)V
        3         3     1.5   100.0      1+0      [924] <init> (IIII)V
---------------------------------------------
      200     0.2    94.1     24+0      android/view/animation/Transformation
      115       605    57.5    57.5     12+0      [217] clear ()V
       85       690    42.5   100.0     12+0      [198] <init> ()V
---------------------------------------------
      187     0.2    94.3     24+0      java/util/ArrayList
       54        67    28.9    28.9      3+0      [534] add (Ljava/lang/Object;)Z
       50       103    26.7    55.6      6+0      [482] <init> (I)V
       46       103    24.6    80.2      6+0      [481] <init> ()V
       16        16     8.6    88.8      5+0      [743] size ()I
       14        24     7.5    96.3      2+0      [687] toArray ([Ljava/lang/Object;)[Ljava/lang/Object;
        7         7     3.7   100.0      2+0      [845] get (I)Ljava/lang/Object;
---------------------------------------------
      176     0.2    94.5      3+0      android/content/ContentProviderProxy
      162       740    92.0    92.0      1+0      [188] call (Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;
       11        11     6.2    98.3      1+0      [789] <init> (Landroid/os/IBinder;)V
        3         3     1.7   100.0      1+0      [921] asBinder ()Landroid/os/IBinder;
---------------------------------------------
      163     0.2    94.6      8+0      android/widget/FrameLayout$LayoutParams
      150      1672    92.0    92.0      7+0      [109] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       13        27     8.0   100.0      1+0      [669] <init> (Landroid/view/ViewGroup$LayoutParams;)V
---------------------------------------------
      159     0.2    94.8     31+0      java/lang/BootClassLoader
       88        88    55.3    55.3     20+0      [501] getInstance ()Ljava/lang/BootClassLoader;
       63       878    39.6    95.0     10+0      [169] loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
        8       632     5.0   100.0      1+0      [210] findClass (Ljava/lang/String;)Ljava/lang/Class;
---------------------------------------------
      156     0.1    94.9     34+0      java/util/Locale
       46        46    29.5    29.5     11+0      [587] equals (Ljava/lang/Object;)Z
       41       183    26.3    55.8     11+0      [390] toString ()Ljava/lang/String;
       39        39    25.0    80.8     11+0      [613] getDefault ()Ljava/util/Locale;
       30       142    19.2   100.0      1+0      [430] toNewString ()Ljava/lang/String;
---------------------------------------------
      154     0.1    95.1      5+0      java/util/regex/Splitter
       76       371    49.4    49.4      2+0      [277] fastSplit (Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String;
       72       187    46.8    96.1      2+0      [387] finishSplit (Ljava/util/List;Ljava/lang/String;III)[Ljava/lang/String;
        6       204     3.9   100.0      1+0      [367] split (Ljava/util/regex/Pattern;Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String;
---------------------------------------------
      153     0.1    95.2      6+0      android/text/method/ReplacementTransformationMethod
      147       501    96.1    96.1      5+0      [235] getTransformation (Ljava/lang/CharSequence;Landroid/view/View;)Ljava/lang/CharSequence;
        6         6     3.9   100.0      1+0      [859] <init> ()V
---------------------------------------------
      150     0.1    95.4     48+0      android/app/LoadedApk
      113       113    75.3    75.3     37+0      [468] getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
       31        31    20.7    96.0      9+0      [640] getClassLoader ()Ljava/lang/ClassLoader;
        3         3     2.0    98.0      1+0      [919] getApplication ()Landroid/app/Application;
        3         3     2.0   100.0      1+0      [920] getPackageName ()Ljava/lang/String;
---------------------------------------------
      141     0.1    95.5     24+0      com/sec/android/app/CscFeature
       88       221    62.4    62.4     12+0      [356] getEnableStatus (Ljava/lang/String;)Z
       53        53    37.6   100.0     12+0      [568] getInstance ()Lcom/sec/android/app/CscFeature;
---------------------------------------------
      125     0.1    95.6      2+0      android/content/pm/IPackageManager$Stub$Proxy
      125      2643   100.0   100.0      2+0      [72] getActivityInfo (Landroid/content/ComponentName;II)Landroid/content/pm/ActivityInfo;
---------------------------------------------
      124     0.1    95.7     13+0      android/text/method/SingleLineTransformationMethod
       70        85    56.5    56.5      2+0      [508] getInstance ()Landroid/text/method/SingleLineTransformationMethod;
       30        30    24.2    80.6      5+0      [649] getOriginal ()[C
       15        15    12.1    92.7      5+0      [748] getReplacement ()[C
        9        15     7.3   100.0      1+0      [747] <init> ()V
---------------------------------------------
      121     0.1    95.9     12+0      android/os/Binder
       59        59    48.8    48.8      4+0      [552] init ()V
       50       177    41.3    90.1      4+0      [397] <init> ()V
       12        12     9.9   100.0      4+0      [781] attachInterface (Landroid/os/IInterface;Ljava/lang/String;)V
---------------------------------------------
      116     0.1    96.0      1+0      android/widget/RelativeLayout$LayoutParams
      116       296   100.0   100.0      1+0      [317] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
---------------------------------------------
      114     0.1    96.1      2+0      android/app/ActivityManagerProxy
       81      1567    71.1    71.1      1+0      [113] getContentProvider (Landroid/app/IApplicationThread;Ljava/lang/String;Z)Landroid/app/IActivityManager$ContentProviderHolder;
       33       257    28.9   100.0      1+0      [331] getWindowMode (Landroid/os/IBinder;)I
---------------------------------------------
      107     0.1    96.2     18+0      android/graphics/drawable/TransitionDrawable
       39      1531    36.4    36.4      6+0      [117] createConstantState (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/content/res/Resources;)Landroid/graphics/drawable/LayerDrawable$LayerState;
       36      1767    33.6    70.1      6+0      [101] <init> (Landroid/graphics/drawable/TransitionDrawable$TransitionState;Landroid/content/res/Resources;Landroid/graphics/drawable/TransitionDrawable$1;)V
       32      1731    29.9   100.0      6+0      [104] <init> (Landroid/graphics/drawable/TransitionDrawable$TransitionState;Landroid/content/res/Resources;)V
---------------------------------------------
      102     0.1    96.3      7+0      com/android/internal/widget/ActionBarView$HomeView
       54       251    52.9    52.9      2+0      [338] onFinishInflate ()V
       25      6419    24.5    77.5      2+0      [38] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       17       280    16.7    94.1      2+0      [324] setUp (Z)V
        6       124     5.9   100.0      1+0      [451] setIcon (Landroid/graphics/drawable/Drawable;)V
---------------------------------------------
       94     0.1    96.4     12+0      java/util/Hashtable
       94       133   100.0   100.0     12+0      [438] get (Ljava/lang/Object;)Ljava/lang/Object;
---------------------------------------------
       93     0.1    96.5      3+0      com/android/internal/widget/ActionBarContextView
       73      2425    78.5    78.5      1+0      [74] <init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
       12      2437    12.9    91.4      1+0      [73] <init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
        8         8     8.6   100.0      1+0      [831] setSplitActionBar (Z)V
---------------------------------------------
       92     0.1    96.5      4+0      android/content/pm/ActivityInfo
       79      1830    85.9    85.9      2+0      [97] <init> (Landroid/os/Parcel;)V
       13      1843    14.1   100.0      2+0      [95] <init> (Landroid/os/Parcel;Landroid/content/pm/ActivityInfo$1;)V
---------------------------------------------
       92     0.1    96.6      5+0      android/graphics/Typeface
       52       691    56.5    56.5      1+0      [197] SetFlipFonts ()V
       19       108    20.7    77.2      1+0      [475] getFullFlipFont (I)Ljava/lang/String;
       10       703    10.9    88.0      1+0      [192] SetAppTypeFace (Ljava/lang/String;)V
        9       302     9.8    97.8      1+0      [316] getFontPathFlipFont (I)Ljava/lang/String;
        2         2     2.2   100.0      1+0      [950] isAppInFlipList (Ljava/lang/String;)Z
---------------------------------------------
