======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      182    0.17  70.58  [85] android/graphics/drawable/NinePatchDrawable.<init> (Landroid/graphics/drawable/NinePatchDrawable$NinePatchState;Landroid/content/res/Resources;Landroid/graphics/drawable/NinePatchDrawable$1;)V
      182    0.17  70.75  [309] java/lang/ThreadLocal$Values.cleanUp ()V
      182    0.17  70.93  [11] java/lang/reflect/Constructor.newInstance ([Ljava/lang/Object;)Ljava/lang/Object;
      179    0.17  71.10  [395] android/graphics/Paint.native_setTextLocale (ILjava/lang/String;)V
      178    0.17  71.27  [292] android/os/Parcel.freeBuffer ()V
      174    0.17  71.43  [399] android/graphics/drawable/Drawable.<init> ()V
      174    0.17  71.60  [314] android/view/ViewGroup$LayoutParams.setBaseAttributes (Landroid/content/res/TypedArray;II)V
      173    0.16  71.76  [401] android/graphics/Paint.native_init ()I
      165    0.16  71.92  [407] android/os/Parcel.nativeFreeBuffer (I)V
      164    0.16  72.08  [207] android/view/View.getDrawableState ()[I
      162    0.15  72.23  [188] android/content/ContentProviderProxy.call (Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;
      162    0.15  72.38  [405] android/graphics/Bitmap.getHeight ()I
      162    0.15  72.54  [409] android/view/View.findViewTraversal (I)Landroid/view/View;
      161    0.15  72.69  [410] android/content/res/TypedArray.getBoolean (IZ)Z
      159    0.15  72.84  [347] android/graphics/drawable/NinePatchDrawable.getChangingConfigurations ()I
      158    0.15  72.99  [155] android/content/res/AssetManager.getPooledString (II)Ljava/lang/CharSequence;
      157    0.15  73.14  [412] android/app/ContextImpl.getResources ()Landroid/content/res/Resources;
      151    0.14  73.29  [418] android/content/res/AssetManager.loadThemeAttributeValue (IILandroid/util/TypedValue;Z)I
      151    0.14  73.43  [36] android/provider/Settings$System.getInt (Landroid/content/ContentResolver;Ljava/lang/String;I)I
      151    0.14  73.57  [419] android/util/TypedValue.complexToFloat (I)F
      151    0.14  73.72  [353] java/lang/String.indexOf (I)I
      150    0.14  73.86  [179] android/content/pm/PackageItemInfo.<init> (Landroid/os/Parcel;)V
      150    0.14  74.00  [109] android/widget/FrameLayout$LayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      149    0.14  74.15  [143] android/content/res/TypedArray.loadStringValueAt (I)Ljava/lang/CharSequence;
